competition_id,date,course
48,2024-09-28,千葉よみうり
49,2024-12-21,千葉よみうり
47,2024-06-29,加茂ゴルフ俱楽部
46,2024-02-17,グリッサンドゴルフクラブ
45,2023-11-23,千葉よみうり
44,2023-07-08,加茂ゴルフ俱楽部
43,2022-07-30,市原ゴルフクラブ柿の木台コース
42,2019-12-14,ムーンレイクゴルフクラブ鶴舞コース
1,2006-03-05,場所不明
2,2006-07-22,場所不明
3,2006-11-25,場所不明
4,2007-02-24,場所不明
5,2007-05-19,八千代
6,2007-08-25,場所不明
7,2007-11-03,場所不明
8,2008-02-16,場所不明
9,2008-06-07,プレステージ（日にち不明）
10,2008-08-30,場所不明
11,2008-12-13,長太郎
12,2009-08-22,Jゴルフ鶴ヶ島
13,2009-12-05,岩舟
14,2010-06-12,鶴ヶ島
15,2010-12-04,場所不明
16,2011-01-04,日時・場所不明
17,2011-02-26,東武藤が丘
18,2011-06-04,成田フェアF（日付不明）
19,2011-08-27,佐原
20,2011-12-03,場所不明
21,2012-03-03,ミルフィーユ
22,2012-06-02,鶴ヶ島
23,2012-09-06,阿見
24,2012-12-15,場所不明
25,2013-01-01,ゴールデン（日付不明）
26,2013-08-31,アスレチック
27,2014-01-01,日付・場所不明
28,2015-07-18,東松苑
29,2015-10-24,東庄
30,2016-03-29,成田の森
31,2016-04-01,日付・場所不明
32,2016-11-26,場所不明
33,2017-01-01,日付・場所不明
34,2017-06-17,アスレチック
35,2017-11-11,アクアライン
36,2018-02-10,ラヴィスタ
37,2018-05-12,アスレチック
38,2018-09-01,日付・場所不明
39,2019-01-01,日付・場所不明
40,2019-03-16,アクアライン
41,2019-06-22,大熱海国際
